RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a1_x4,a1_x5,a1_x6,a1_x7,a1_x8,a2_x1,a3_x2,a2_x3,a2_x4,a2_x5,a2_x6,a2_x7,a2_x8
,,,,,,,,,,,,,,,,,,,,
1535,7,4,4,2,1,85,14,1,120,50,2,300,1,75,17,2,60,75,3,250
,,,,,,,,,,,,,,,,,,,,
1535,18,5,5,1,1,75,17,1,60,25,2,200,1,85,24,2,120,0,3,250
,,,,,,,,,,,,,,,,,,,,
1536,24,1,1,1,1,85,24,2,60,50,2,250,1,95,14,1,120,25,3,150
,,,,,,,,,,,,,,,,,,,,
1536,11,2,2,2,1,75,14,1,60,50,1,300,1,85,24,2,120,25,3,200
,,,,,,,,,,,,,,,,,,,,
1536,28,3,3,2,1,75,24,1,120,0,1,250,1,85,17,2,60,50,2,150
,,,,,,,,,,,,,,,,,,,,
1536,23,4,4,1,1,85,17,2,120,50,1,100,1,95,24,1,120,0,2,300
,,,,,,,,,,,,,,,,,,,,
1536,10,5,5,1,1,95,24,2,30,0,2,250,1,75,14,1,120,50,3,300
,,,,,,,,,,,,,,,,,,,,
1537,12,1,1,2,1,95,14,2,60,0,2,250,1,85,17,1,120,0,1,100
,,,,,,,,,,,,,,,,,,,,
1537,9,2,2,1,1,95,14,2,30,0,3,100,1,85,24,1,60,25,1,300
,,,,,,,,,,,,,,,,,,,,
1537,14,3,3,2,1,85,17,2,120,0,3,300,1,95,14,1,120,50,2,200
,,,,,,,,,,,,,,,,,,,,
1537,26,4,4,1,1,85,17,2,60,50,3,150,1,75,14,1,120,0,2,100
,,,,,,,,,,,,,,,,,,,,
1537,25,5,5,2,1,85,14,2,120,0,1,200,1,75,17,1,120,25,3,300
,,,,,,,,,,,,,,,,,,,,
1539,15,1,1,2,1,75,17,1,60,0,2,250,1,85,24,2,120,75,1,100
,,,,,,,,,,,,,,,,,,,,
1539,29,2,2,1,1,85,24,1,60,25,3,100,1,95,17,2,120,50,1,150
,,,,,,,,,,,,,,,,,,,,
1539,21,3,3,2,1,85,14,2,30,25,3,200,1,75,24,1,120,75,2,150
